Comment,Published At,Like Count,Reply Count,Video Title
"You say <a href=""https://www.youtube.com/watch?v=6Dubwx8_FCQ&amp;t=189"">3:09</a> advocate something is to encourage people to use or do something but, doesn&#39;t it really mean to defend or support smn/smt?<br>Another question, what does <a href=""https://www.youtube.com/watch?v=6Dubwx8_FCQ&amp;t=308"">5:08</a> stick to... mean",2025-05-15T12:07:30Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Congratulations on your 8 Millions subscribers. ❤❤❤❤❤,2025-05-15T11:49:06Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Really well explained. I’ve noticed that testing myself with short quizzes straight after watching videos like this helps me remember and apply the concepts better. Does anyone else do this?,2025-05-15T10:04:45Z,7,1,which_cooking_oil_is_the_best_6_minute_english
"Reply: me,  too.",2025-05-16T23:11:07Z,1,0,which_cooking_oil_is_the_best_6_minute_english
There is so much speculation about which or whether  ones are a wonder product or unhealthy that finally  you just end up having loads of anxiety  :),2025-05-15T09:45:40Z,13,0,which_cooking_oil_is_the_best_6_minute_english
"Such an outstanding podcast, Thank you massively from Uzbekistan 🇺🇿🤍.",2025-05-15T09:08:33Z,6,3,which_cooking_oil_is_the_best_6_minute_english
"Reply: @@ibrohim_rw вижу не первый твой коммент под их подкастами. Красава, продолжай учить, главное тут - consistency ✊🏼",2025-05-16T03:36:41Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Reply: I am sure you are ielts candidate ❤,2025-05-17T05:53:23Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"Reply: @@AR4kstudio135Sure, I am.",2025-05-17T05:56:06Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Hi,2025-05-15T09:06:13Z,3,0,which_cooking_oil_is_the_best_6_minute_english
🌹Thanks,2025-05-15T09:04:51Z,4,1,which_cooking_oil_is_the_best_6_minute_english
Reply: You&#39;re welcome 😊,2025-05-15T09:09:23Z,1,0,which_cooking_oil_is_the_best_6_minute_english
"🤩 Click here for a free worksheet, and all the vocabulary and definitions: <a href=""https://bbc.in/4j2Onnt"">https://bbc.in/4j2Onnt</a>",2025-05-14T11:40:03Z,15,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From Uzbekistan 🇺🇿,2025-05-19T04:13:59Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From sudan,2025-05-18T06:01:17Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Jabs, halve and slim down",2025-05-18T02:26:30Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"This video is so useful for me, sharing  vocabularies used in normal life 😊",2025-05-17T15:33:08Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Is it true? It&#39;s amazing invention,2025-05-17T03:41:41Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
I am determined to listen to videos in this channel to strengthen my listening skills more today.<br>I would like to surprise my japanese friends as they think I am bad at English.,2025-05-16T22:24:33Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Excellent news! Shame those drugs are so expensive! Thank you so much for making these useful videos. ❤,2025-05-16T21:24:44Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
❤,2025-05-16T11:11:57Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
This is video I am see the phrasl verb slim down and also taking about sky of cancer,2025-05-16T02:32:01Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Could you please explain a little bit beyond,2025-05-15T19:44:53Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
👍👍👌👌👏👏👏,2025-05-15T16:07:11Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"when u wanna go to the medical part, make sure you&#39;re ready to jab people. <br>she took a jab at my style in front of my peers, which I despise her for that character.<br>if I had worked alone today, I would not need to halve the money with my friend.<br>Now I can walk, so I try to slim down a little bit.<br><br>if anyone rectifies my mistakes, I would appreciate him/her.",2025-05-15T11:03:36Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
❤❤,2025-05-15T10:04:18Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Excellent to learn more meanings of jab, I only knew injection. That&#39;s the beauty of this language, so many meanings of the same word. It would be great if this drug helps to reduce cancer risk. Unfortunately many people died of one form of cancer or another. Many thanks Georgie and Neil for the lesson.",2025-05-15T09:10:11Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Egypt,2025-05-15T08:16:22Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Egypt,2025-05-15T08:13:50Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Egypt,2025-05-15T08:13:50Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Egypt,2025-05-15T08:10:21Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Hi,2025-05-15T08:07:00Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Hello Neill,<br>Ur Performance So Outstanding 😍<br>I&#39;m From Bangladesh <br>Best wishes to u all BBC learning  English page💐💐<br>For ur full of 8 million flowers🥀",2025-05-15T06:55:03Z,2,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Thanks so much!! It’s very interesting like other videos as well.,2025-05-15T05:39:40Z,1,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: Glad you enjoyed it!,2025-05-15T09:12:04Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Thank you for your great job! I like it😊,2025-05-15T05:16:28Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Wow 8 million ❤🎉,2025-05-15T04:35:24Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"jab: injection(informal)<br>take a jab at: consult<br>poke: <br>rib: <br>vaccination: <br>inflammation: <br>halve: divide something into two, reduce by half<br>slimming down: reduce size, become thinner",2025-05-15T03:50:14Z,2,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From Bangladesh 🎉❤,2025-05-15T01:56:45Z,2,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Congratulations for 8M... Thanks for the video.. From India,2025-05-14T23:12:11Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Thanks a Lot BBC.  Greetings from Mexico.,2025-05-14T21:47:58Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Thanks a lot I hope i can speak English fluently 😢❤,2025-05-14T20:38:05Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"If you want to slim down, you need to cut back on junk food instantly.",2025-05-14T18:58:30Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Frome somali,2025-05-14T17:51:12Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Where you&#39;re weeb side ?<br>How i can found it !,2025-05-14T16:36:21Z,1,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Reply: Do you mean our website? Here it is: <a href=""http://bbclearningenglish.com/"">bbclearningenglish.com</a>",2025-05-15T09:15:56Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"1.After taking jabs at her often , there is no love lost between them now. 2. By slimming down the wages, the employer&#39;s life quality was halved . 3. After failing at the first hurdle, half of the workplace was slimmed down.",2025-05-14T15:51:32Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
I learned a lot in this episode. The phrasal verb slim down i think it was the most difficult. Thanks.,2025-05-14T15:18:04Z,1,2,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: We&#39;re glad to hear that! Can you use &#39;slim down&#39; in an example sentence?,2025-05-14T16:48:41Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: Can I try,2025-05-14T19:30:41Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"What do <a href=""https://www.youtube.com/watch?v=U8qDerMdo-4&amp;t=121"">2:01</a> poke, <a href=""https://www.youtube.com/watch?v=U8qDerMdo-4&amp;t=123"">2:03</a> forcefully, <a href=""https://www.youtube.com/watch?v=U8qDerMdo-4&amp;t=294"">4:54</a> bring out, <a href=""https://www.youtube.com/watch?v=U8qDerMdo-4&amp;t=372"">6:12</a> setting, <a href=""https://www.youtube.com/watch?v=U8qDerMdo-4&amp;t=376"">6:16</a> workforce mean?",2025-05-14T15:09:28Z,2,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Reply: poke= to push a finger or other pointed object quickly into someone or something, forcely means extremly strong, setting= context, workforce= workers( a group of people), bring out= make a particular quality or detail noticeable",2025-05-15T14:23:57Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From soomaliland ❤,2025-05-14T14:16:49Z,1,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: Somalilamd country or procinse,2025-05-14T17:53:54Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From Iran 🇮🇷,2025-05-14T13:57:12Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
A good content 👍,2025-05-14T13:44:35Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
BCC Best BroadCasting ❤🎉,2025-05-14T13:26:53Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Hi from Myanmar ❤,2025-05-14T13:23:13Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From Bangladesh 🇧🇩,2025-05-14T13:21:59Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Awesome,2025-05-14T12:57:58Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Congratulations on your achieving 8 million subscribers！👏🎊　WHOO HOO！🥳 <br>You&#39;re the CEO of teaching English. You ate！💯,2025-05-14T12:37:43Z,1,2,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: 🎉 Thank you! 😃 Nice use of Gen Z slang too!,2025-05-14T13:13:36Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: You rock！🥰​@@bbclearningenglish,2025-05-14T20:01:21Z,0,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Hi! From Brazil 🎉,2025-05-14T12:08:40Z,4,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Awesome topics, outstanding discussion.",2025-05-14T11:57:17Z,6,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"Congratulations to you all BBC Learning English Page❤❤, for your full of 8 million followers 🎉🎉🎉🎈🍒🍒",2025-05-14T11:52:38Z,10,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: 🎉 Thank you! Stick with us for more useful content like this!,2025-05-14T13:12:04Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
I m from burma,2025-05-14T11:40:07Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
😊😊😊😊😊,2025-05-14T11:36:41Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
From Algeria,2025-05-14T11:36:31Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
👋 👋 👋 hi,2025-05-14T11:36:15Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
❤❤❤❤❤,2025-05-14T11:35:55Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Hi! From Morocco 🇲🇦,2025-05-14T11:30:40Z,3,1,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Reply: 👋 Hello from London!,2025-05-14T13:11:03Z,1,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
Hello,2025-05-14T11:29:04Z,3,0,weight_loss_drugs_reduce_cancer_risk_study_finds_bbc_learning_english_from_the_news
"🎧 Listen to the full podcast at <a href=""http://bbclearningenglish.com/"">bbclearningenglish.com</a> What&#39;s your 🚊 train journey like? Tell us in the comments!",2025-05-14T11:13:15Z,3,0,how_to_describe_a_busy_train_journey_shorts
Crammed train,2025-05-19T01:30:37Z,0,0,how_to_describe_a_busy_train_journey_shorts
Dạ QUỲNH MAI ĐÃ HỌC BBC LEARNING ENGLISH AND OXFORD UNIVERSITY TỪ NHỎ .,2025-05-18T07:56:05Z,0,0,how_to_describe_a_busy_train_journey_shorts
❤,2025-05-16T08:15:50Z,0,0,how_to_describe_a_busy_train_journey_shorts
"I completely agree that being packed in the train is unpleasant, especially in the morning since it is crowded with so many people.",2025-05-15T12:24:38Z,1,0,how_to_describe_a_busy_train_journey_shorts
I’ve been studying English with bbc learning English podcast. But it’s the first time to see their face.,2025-05-15T10:46:04Z,1,0,how_to_describe_a_busy_train_journey_shorts
Sardine can on rails 😂😂,2025-05-15T08:29:49Z,0,0,how_to_describe_a_busy_train_journey_shorts
"Today I went to work in the morning, The bus was very crowded",2025-05-15T07:17:02Z,1,0,how_to_describe_a_busy_train_journey_shorts
"In the future, most of the world will speak english because of the social media and other languages will be forgotten. Do you guys agree with me that?",2025-05-14T19:00:11Z,0,0,how_to_describe_a_busy_train_journey_shorts
Why does she say there&#39;s lots of people? Shouldn&#39;t it be there are lots of people? I&#39;m confused 😢😅,2025-05-14T18:12:17Z,0,0,how_to_describe_a_busy_train_journey_shorts
Oh! Neil and Georgie were packed like sardines😢,2025-05-14T17:00:59Z,0,0,how_to_describe_a_busy_train_journey_shorts
i hate crowded places,2025-05-14T16:36:18Z,1,0,how_to_describe_a_busy_train_journey_shorts
It’s usually really packed🥰🥰,2025-05-14T14:44:10Z,2,0,how_to_describe_a_busy_train_journey_shorts
"Beth &#39;n&#39; Neil are good guys, but Georgie is 😍🥰",2025-05-14T14:18:31Z,0,0,how_to_describe_a_busy_train_journey_shorts
Thanks a lot.,2025-05-14T14:09:12Z,1,0,how_to_describe_a_busy_train_journey_shorts
Thank you all BBC members for this video😊. Lots of love from🇮🇳😊,2025-05-14T13:21:23Z,1,1,how_to_describe_a_busy_train_journey_shorts
Reply: Thanks for watching!,2025-05-14T16:47:15Z,1,0,how_to_describe_a_busy_train_journey_shorts
You guys are the best! ❤,2025-05-14T13:14:47Z,2,0,how_to_describe_a_busy_train_journey_shorts
packed,2025-05-14T11:11:23Z,0,0,how_to_describe_a_busy_train_journey_shorts
Crowded,2025-05-14T11:01:07Z,0,0,how_to_describe_a_busy_train_journey_shorts
Uh..I suppose it doesn&#39;t happen in UK...in Argentina it is the same problem..we packed on the train and on the tube too...😢,2025-05-14T10:49:16Z,0,0,how_to_describe_a_busy_train_journey_shorts
"One of the reasons of my lateness when was in city.  It &#39;s horrendous to enter that busy metro.or you can  stand in the corner , less chance of squashing up😆",2025-05-14T10:19:30Z,0,0,how_to_describe_a_busy_train_journey_shorts
😂❤,2025-05-14T10:14:43Z,0,0,how_to_describe_a_busy_train_journey_shorts
Train journey 🙂 <br>This is the first comment 😁😊,2025-05-14T10:06:54Z,0,2,how_to_describe_a_busy_train_journey_shorts
Reply: Thanks for the comment! We hope you enjoyed the video.,2025-05-14T11:47:42Z,2,0,how_to_describe_a_busy_train_journey_shorts
Reply: @bbclearningenglish  <br>Like one time I was sleeping 🥱 mode in the train but suddenly anyone comes to me and pushed my private part 〽️ that&#39;s kinner 🤣,2025-05-14T11:58:32Z,0,0,how_to_describe_a_busy_train_journey_shorts
🎉👍👍 thanks,2025-05-14T10:06:34Z,2,0,how_to_describe_a_busy_train_journey_shorts
"What are you 🫵 doing right now? 😁 Tell us in the comments.<br>You can find a worksheet on this episode here. 👉 <a href=""http://tinyurl.com/ps3hplv"">http://tinyurl.com/ps3hplv</a>",2025-05-13T09:22:27Z,12,4,what_are_you_doing_easy_english_conversations_episode_6
Reply: Iam watching BBC learning English ❤❤❤,2025-05-13T19:57:16Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Reply: Im cooking,2025-05-15T10:36:54Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Reply: @@bbclearningenglish <br>Inan idin fahaaman rajaynayaa🙏🌿,2025-05-17T09:56:15Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Reply: I am enjoyinh your podcast.❤,2025-05-18T16:21:42Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s taking a shower,2025-05-19T10:49:37Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s taking a bath❤❤,2025-05-19T09:44:09Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s taking a shower,2025-05-19T09:41:18Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
I&#39;m watching your video 🎉,2025-05-18T12:23:02Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Tim is showierng  🚿 🛁 🛀,2025-05-18T10:49:54Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Good videos! Thank you very much!,2025-05-18T10:26:45Z,0,1,what_are_you_doing_easy_english_conversations_episode_6
Reply: Stay tuned for more episodes!,2025-05-19T10:34:23Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is having a shower),2025-05-18T08:18:07Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s taking a shower,2025-05-17T23:24:56Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He’s taking a shower.,2025-05-17T23:16:39Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
Im watching the video .,2025-05-17T20:33:20Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He taking shower.,2025-05-17T20:13:54Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
he  is taking a shower,2025-05-17T12:52:51Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is taking shower,2025-05-17T11:33:48Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is taking a shower,2025-05-17T10:47:40Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s taking a shower,2025-05-17T08:20:54Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is drinking.,2025-05-17T06:35:28Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
I&#39;m listening to BBC world news on the radio. I&#39;m trying to understand the news.,2025-05-17T03:15:22Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
She is taking shower,2025-05-17T01:05:27Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is taking shower,2025-05-16T15:18:56Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
I.m  watching bbc learning English,2025-05-16T15:03:45Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He&#39;s having a shower,2025-05-16T13:20:22Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
He is taking a shower,2025-05-16T11:56:48Z,0,0,what_are_you_doing_easy_english_conversations_episode_6
